Date,Description,Amount,Category
2026-05-01,Monthly Rent,15000,Rent & Housing
2026-05-03,Groceries,3200,
2026-05-05,Uber Ride,450,
2026-05-07,Electricity Bill,1800,
2026-05-09,Amazon Purchase,1800,
2026-05-12,Netflix Subscription,649,
2026-05-15,Pharmacy,700,
2026-05-18,Cafe Coffee,420,
2026-05-22,Fuel,2200,
2026-05-25,Udemy Course,1200,
2026-06-01,Monthly Rent,15000,Rent & Housing
2026-06-03,Swiggy Dinner,580,
2026-06-05,Groceries,3500,
2026-06-07,Uber Ride,380,
2026-06-10,Electricity Bill,1900,
2026-06-12,Amazon Purchase,2100,
2026-06-15,Spotify Subscription,119,
2026-06-18,Doctor Consultation,900,
2026-06-20,Cafe Coffee,450,
2026-06-23,Fuel,2300,
2026-06-27,Course Fee,1500,
2026-07-01,Monthly Rent,15000,Rent & Housing
2026-07-03,Zomato Lunch,520,
2026-07-05,Groceries,3700,
2026-07-07,Uber Ride,420,
2026-07-10,Electricity Bill,2050,
2026-07-12,Clothes Shopping,2400,
2026-07-15,Netflix Subscription,649,
2026-07-18,Pharmacy,850,
2026-07-20,Cafe Coffee,480,
2026-07-24,Fuel,2400,
2026-07-28,Restaurant Dinner,1450,
2026-08-01,Monthly Rent,15000,Rent & Housing
2026-08-03,Swiggy Dinner,620,
2026-08-05,Groceries,3900,
2026-08-07,Uber Ride,450,
2026-08-10,Electricity Bill,2150,
2026-08-12,Flipkart Purchase,2200,
2026-08-15,Netflix Subscription,649,
2026-08-18,Pharmacy,750,
2026-08-20,Cafe Coffee,520,
2026-08-24,Fuel,2500,
2026-08-28,Restaurant Dinner,1600,
