Post_ID,Date,Time,User,Content,Hashtags,Category,Likes,Comments,Shares,Expected_Sentiment
POST_028,2026-07-15,08:00:00,AIInsights,Sharing today's update and the latest observations from the project. Exploring education trends and insights.,#Python #CareerGrowth,Education,137,162,343,Neutral
POST_202,2026-07-15,08:30:00,TechNeha,Absolutely loved this update! The results are amazing and exciting. Exploring ai trends and insights.,#GenerativeAI #ArtificialIntelligence #AI,AI,1963,262,734,Positive
POST_220,2026-07-15,08:50:00,AnalyticsGuru,A new feature has been released for users to explore. Exploring technology trends and insights.,#TechNews #Coding #Innovation #Technology,Technology,667,269,98,Neutral
POST_160,2026-07-15,10:30:00,MLExplorer,Great insights and an excellent learning experience today. Exploring business trends and insights.,#Entrepreneurship #Startups #Marketing #Business,Business,1563,253,278,Positive
POST_045,2026-07-15,11:00:00,DataNinja,So excited to share this wonderful milestone with everyone! Exploring ai trends and insights.,#GenerativeAI #ArtificialIntelligence #AI,AI,2393,219,463,Positive
POST_159,2026-07-15,20:30:00,DevVibes,The experience has been poor so far and several problems remain. Exploring business trends and insights.,#Business #Entrepreneurship,Business,192,314,470,Negative
POST_030,2026-07-15,22:00:00,MLExplorer,Facing some frustrating issues with the latest release. Exploring data science trends and insights.,#Python #DataScience #BigData #Analytics,Data Science,227,261,287,Negative
POST_041,2026-07-15,22:20:00,DataWithAarav,Absolutely loved this update! The results are amazing and exciting. Exploring education trends and insights.,#Education #CareerGrowth,Education,2063,58,170,Positive
POST_092,2026-07-15,23:50:00,DataWithAarav,This update was disappointing and the results need improvement. Exploring ai trends and insights.,#MachineLearning #AI,AI,3152,63,685,Negative
POST_170,2026-07-16,08:50:00,DevVibes,Testing a new approach and documenting the results. Exploring education trends and insights.,#Learning #Education #CareerGrowth #Python,Education,859,61,360,Neutral
POST_137,2026-07-16,17:30:00,DataNinja,Not happy with the current results. More work is required. Exploring education trends and insights.,#Education #Python,Education,1271,41,263,Negative
POST_059,2026-07-16,19:40:00,AIInsights,Great insights and an excellent learning experience today. Exploring technology trends and insights.,#Innovation #Coding #TechNews #Technology,Technology,2344,33,74,Positive
POST_209,2026-07-16,21:20:00,MLExplorer,Facing some frustrating issues with the latest release. Exploring data science trends and insights.,#DataScience #Analytics #Python,Data Science,1238,247,266,Negative
POST_069,2026-07-17,11:20:00,DevVibes,The experience has been poor so far and several problems remain. Exploring business trends and insights.,#Startups #Business #Marketing,Business,1596,312,84,Negative
POST_140,2026-07-17,12:00:00,CodeWithRiya,Here are some useful insights from the data analysis. Exploring lifestyle trends and insights.,#Motivation #Lifestyle #DailyLife #Productivity,Lifestyle,1424,330,28,Neutral
POST_081,2026-07-17,14:30:00,AnalyticsGuru,Absolutely loved this update! The results are amazing and exciting. Exploring data science trends and insights.,#BigData #Analytics,Data Science,489,30,435,Positive
POST_118,2026-07-17,16:10:00,MLExplorer,Great insights and an excellent learning experience today. Exploring education trends and insights.,#Python #Learning #CareerGrowth #Education,Education,403,159,6,Positive
